date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-05-11,63.58,63.66,63.1,62.81,452105.5,-0.08,-0.13,62.702,62.102,63.525,687776.65,866292.01,766951.46
2018-05-10,63.3,63.75,63.18,62.61,498178.31,0.23,0.36,62.22,62.341,63.753,685672.9,868864.22,780392.4
2018-05-09,63.1,63.4,62.96,62.52,484431.0,-0.12,-0.19,61.864,62.679,64.006,711862.31,909741.8,800740.47
2018-05-08,61.36,63.88,63.08,61.24,1174720.62,1.89,3.09,61.546,62.884,64.157,756757.8,915745.37,812326.07
2018-05-07,60.55,61.47,61.19,59.71,829447.81,0.48,0.79,61.11,62.99,64.231,1042386.18,858607.38,787589.51
2018-05-04,61.33,61.64,60.69,60.64,441586.75,-0.75,-1.22,61.502,63.319,64.399,1044807.38,848309.98,776320.65
2018-05-03,60.88,61.58,61.4,59.9,629125.38,0.06,0.1,62.462,63.596,64.599,1052055.55,880635.85,794519.27
2018-05-02,61.36,61.79,61.37,60.75,708908.44,0.48,0.79,63.494,63.771,64.793,1107621.29,900890.6,805164.13
2018-04-27,63.55,63.73,60.9,58.34,2602862.5,-2.22,-3.52,64.222,64.064,65.044,1074732.94,910963.71,842845.99
2018-04-26,65.68,65.89,63.15,62.81,841553.81,-2.35,-3.59,64.87,64.59,65.27,674828.59,697316.04,783742.26
2018-04-25,66.04,66.46,65.49,65.31,477827.62,-1.07,-1.61,65.136,64.947,65.522,651812.57,667610.91,793660.58
2018-04-24,65.4,67.06,66.56,65.28,906954.06,1.57,2.42,64.73,65.164,65.659,709216.15,691920.58,838818.46
2018-04-23,64.15,65.16,65.01,63.78,544466.69,0.86,1.34,64.048,65.333,65.847,694159.91,691739.14,867818.5
2018-04-20,64.2,64.87,64.14,63.51,603340.75,-0.34,-0.53,63.906,65.43,66.239,747194.49,708906.76,885739.04
2018-04-19,63.9,64.95,64.48,63.66,726473.75,0.97,1.53,64.31,65.471,66.725,719803.49,716571.64,923946.3
2018-04-18,63.78,63.95,63.46,62.6,764845.5,0.33,0.52,64.758,65.479,67.206,683409.24,704331.33,920611.53
2018-04-17,64.44,64.86,63.15,62.83,831672.88,-1.15,-1.79,65.598,65.601,67.724,674625.0,708402.69,928594.25
2018-04-16,66.01,66.66,64.3,63.88,809639.56,-1.88,-2.84,66.618,65.815,68.091,689318.37,709437.65,922076.92
2018-04-13,67.43,67.45,66.16,66.05,466385.75,-0.56,-0.84,66.954,66.024,68.401,670619.04,774728.27,912950.48
2018-04-12,67.91,67.97,66.72,66.69,544502.5,-0.95,-1.4,66.632,65.949,68.533,713339.79,870168.48,915369.23
2018-04-11,68.3,68.57,67.66,67.48,720924.31,-0.59,-0.86,66.2,66.096,68.67,725253.43,919710.26,918618.72
2018-04-10,65.69,68.4,68.25,65.39,905139.75,2.29,3.47,65.604,66.154,68.842,742180.38,985716.35,911740.08
2018-04-09,64.99,65.99,65.98,64.05,716142.88,1.43,2.21,65.012,66.36,68.974,729556.93,1043897.86,890294.19
2018-04-04,64.9,65.58,64.55,63.98,679989.5,0.04,0.06,65.094,67.047,69.204,878837.5,1062571.33,889121.13
2018-04-03,63.95,64.95,64.56,63.84,604070.69,-0.1,-0.15,65.266,67.978,69.413,1026997.18,1131320.96,884649.41
2018-04-02,64.25,66.25,64.68,64.22,805559.06,-0.63,-0.96,65.992,68.932,69.655,1114167.09,1136891.73,887299.73
2018-03-30,66.01,66.27,65.29,64.8,842022.5,-1.1,-1.66,66.704,69.846,69.815,1229252.33,1148785.81,877512.97
2018-03-29,65.42,67.28,66.39,63.51,1462545.75,0.99,1.51,67.708,70.367,69.934,1358238.8,1134716.18,864483.81
2018-03-28,67.0,67.68,65.41,64.88,1420787.88,-2.75,-4.04,69.0,70.778,70.061,1246305.15,1051172.7,824521.33
2018-03-27,69.58,69.66,68.19,67.5,1039920.25,-0.09,-0.13,70.69,71.117,70.177,1235644.75,960569.99,792590.46
2018-03-26,69.2,69.97,68.24,66.98,1380985.25,-2.06,-2.93,71.872,71.243,70.257,1159616.38,917527.19,779644.19
2018-03-23,70.0,70.77,70.31,69.42,1486954.88,-2.57,-3.53,72.988,71.53,70.385,1068319.29,837763.81,745286.97
2018-03-22,73.51,74.17,72.85,71.68,902877.5,-0.97,-1.31,73.026,71.588,70.403,911193.56,736690.52,698739.78
2018-03-21,76.7,76.71,73.86,73.03,1367485.88,-0.23,-0.31,72.556,71.36,70.249,856040.24,715670.94,692778.41
2018-03-20,73.1,74.19,74.1,72.7,659778.38,0.29,0.39,71.544,70.848,70.0,685495.22,637977.85,656729.21
2018-03-19,70.89,73.88,73.82,70.48,924499.81,3.31,4.69,70.614,70.377,69.647,675437.99,637707.73,681138.15
2018-03-16,70.7,71.95,70.5,70.45,701326.25,0.01,0.01,70.072,69.783,69.203,607208.33,606240.13,686393.75
2018-03-15,68.41,70.7,70.5,68.4,627110.88,1.68,2.44,70.15,69.5,68.901,562187.48,594251.44,775928.92
2018-03-14,68.85,69.2,68.8,68.26,514760.78,-0.62,-0.89,70.164,69.344,68.824,575301.63,597869.97,821078.82
2018-03-13,71.2,71.35,69.45,69.18,609492.25,-1.67,-2.35,70.152,69.236,68.95,590460.47,624610.94,882732.83
2018-03-12,71.6,71.86,71.11,70.6,583351.5,0.22,0.31,70.14,69.271,69.165,599977.47,641761.19,954741.56
2018-03-09,71.0,71.46,70.89,70.31,476222.0,0.35,0.5,69.494,69.24,69.394,605271.94,652810.14,972976.71
2018-03-08,69.06,70.84,70.57,68.76,692681.62,1.79,2.6,68.85,69.217,69.65,626315.4,660789.04,999544.78
2018-03-07,68.98,70.18,68.74,68.18,590555.0,-0.58,-0.84,68.524,69.137,69.897,620438.31,669885.88,1035698.84
2018-03-06,68.4,69.39,69.39,67.4,657077.25,1.51,2.23,68.32,69.152,70.214,658761.4,675480.57,1052907.4
2018-03-05,67.66,68.59,67.88,67.0,609823.81,0.2,0.3,68.402,68.917,70.412,683544.91,724568.57,1063444.39
2018-03-02,68.0,68.66,67.67,67.45,581439.31,-1.26,-1.83,68.986,68.623,70.686,700348.34,766547.36,1108845.37
2018-03-01,67.18,69.38,68.94,66.88,663296.19,1.18,1.74,69.584,68.301,71.109,695262.69,957606.41,1136050.73
2018-02-28,69.2,69.24,67.72,67.7,782170.44,-2.09,-2.99,69.75,68.304,71.424,719333.45,1044287.68,1164605.75
